concept1,concept2,attribute,answer,decision_depth,depths_concept1,level
sandwiches,breakfast,lunch,None,-,8 4 3,-
surfboard,raft,water,0,-,7 2,-
banana,cucumber,long,None,-,9 10,-
lambs,cattle,wool,None,-,9 10 8 8 6 3,-
shrimp,spinach,pink,None,-,8 6 11 4,-
bus,taxi,passengers,0,8,8 9 8 12 2 3 2,synset
garage,brick,large,None,-,8 11 3,-
walkway,alley,walk,None,-,7,-
polyurethane,polyester,material,0,6,9,hypernym
spoon,potato,wood,1,11,9 5 11 1 5,synset
machete,razor,long,None,-,10,-
teeth,tongue,white,None,-,5 9 7 6 7 7,-
cop,soldier,civilian,None,-,11 2 2,-
woman,doctor,talk,None,-,8 8 12 5,-
broom,peacock,long,1,8,8 10 11 3 3,synset
elbow,finger,arm,1,8,8 6 10 7 6 3 3,synset
